ENTRY; SUMMARY; ATTACK_VECTOR; ACCESS_COMPLEXITY; AUTHENTICATION; CONFIDENTIALITY; INTEGRITY; AVAILABILITY; SCORE; PRODUCTS_AFFECTED; PRESENCE; IMPACT; CRITICITY_FOR_HEALTH 
CVE-2015-2579;Unspecified vulnerability in the Oracle Health Sciences Argus Safety component in Oracle Health Sciences Applications 8.0 allows local users to affect confidentiality via vectors related to BIP Installer.;LOCAL;LOW;NONE;PARTIAL;NONE;NONE;2,1;1;,14286;,30000;0
CVE-2015-2814;SAP EMR Unwired (com.sap.mobile.healthcare.emr.v2) and Clinical Task Tracker (com.sap.mobile.healthcare.ctt) does not properly restrict access, which allows remote attackers to change the backendurl, clientid, ssourl, and infopageurl settings via unspecified vectors, aka SAP Security Note 2117079.;NETWORK;LOW;NONE;NONE;PARTIAL;PARTIAL;6,4;2;,28571;1,82857;1
CVE-2015-2898;Multiple stack-based buffer overflows in Medicomp MEDCIN Engine before 2.22.20153.226 might allow remote attackers to execute arbitrary code via a crafted packet on port 8190, related to (1) the SetGroupSequenceEx na_setgroupsequenceex function, (2) the FormatDate julptostr function, and (3) the UserFindingCodes addtocl function.;NETWORK;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;6,8;1;,14286;,97143;0
CVE-2015-2899;Heap-based buffer overflow in the QualifierList retrieve_qualifier_list function in Medicomp MEDCIN Engine before 2.22.20153.226 might allow remote attackers to execute arbitrary code via a long list name in a packet on port 8190.;NETWORK;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;6,8;1;,14286;,97143;0
CVE-2015-2900;The AddUserFinding add_userfinding2 function in Medicomp MEDCIN Engine before 2.22.20153.226 allows remote attackers to cause a denial of service (out-of-bounds write) or possibly have unspecified other impact via a crafted packet on port 8190.;NETWORK;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;6,8;1;,14286;,97143;0
CVE-2015-2901;Multiple stack-based buffer overflows in Medicomp MEDCIN Engine 2.22.20142.166 might allow remote attackers to execute arbitrary code via a crafted packet on port 8190, related to (1) the GetProperty info_getproperty function and (2) the GetProperty UdfCodeList function.;NETWORK;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;6,8;1;,14286;,97143;0
CVE-2015-4591;eClinicalWorks Population Health (CCMR) suffers from a cross site scripting vulnerability in login.jsp which allows remote unauthenticated users to inject arbitrary javascript via the strMessage parameter.;NETWORK;MEDIUM;NONE;NONE;PARTIAL;NONE;4,3;1;,14286;,61429;0
CVE-2015-4592;eClinicalWorks Population Health (CCMR) suffers from an SQL injection vulnerability in portalUserService.jsp which allows remote authenticated users to inject arbitrary malicious database commands as part of user input.;NETWORK;LOW;SINGLE;PARTIAL;PARTIAL;PARTIAL;6,5;1;,14286;,92857;0
CVE-2015-4593;eClinicalWorks Population Health (CCMR) suffers from a cross-site request forgery (CSRF) vulnerability in portalUserService.jsp which allows remote attackers to hijack the authentication of content administrators for requests that could lead to the creation, modification and deletion of users, appointments and employees.;NETWORK;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;6,8;1;,14286;,97143;0
CVE-2015-4594;eClinicalWorks Population Health (CCMR) suffers from a session fixation vulnerability. When authenticating a user, the application does not assign a new session ID, making it possible to use an existent session ID.;NETWORK;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;7,5;1;,14286;1,07143;0
CVE-2015-6006;The AddUserFinding implementation in Medicomp MEDCIN Engine 2.22.20153.x before 2.22.20153.226 might allow remote attackers to execute arbitrary code or cause a denial of service (integer truncation and heap-based buffer overflow) via a crafted packet on port 8190.;NETWORK;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;7,5;1;,14286;1,07143;0


TOTAL PRODUCTS; 7
