CATEGORY; SUMMARY; NUMBER_OF_VULNERABILITIES; NUMBER_OF_VULNERAILITIES_WITH_CRITICALITY_FOR_HEALTH; AVERAGE_SCORE; PRESENCE; IMPACT 
CWE-434;Unrestricted Upload of File with Dangerous Type. The software allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment. ;1;0;6,5;,03700;,24050;
CWE-269;Improper Privilege Management;2;1;6,5;,07410;,48170;
CWE-522;Insufficiently Protected Credentials;2;2;5,0;,07410;,37050;
CWE-732;Incorrect Permission Assignment for Critical Resource;1;0;6,5;,03700;,24050;
CWE-798;Use of Hard-coded Credentials. The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data. Hard-coded credentials typically create a significant hole that allows an attacker to bypass the authentication that has been configured by the software administrator. This hole might be difficult for the system administrator to detect. Even if detected, it can be difficult to fix, so the administrator may be forced into disabling the product entirely.;3;1;7,2;,11110;,79990;
CWE-89;"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'). The software constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs, the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data. This can be used to alter query logic to bypass security checks, or to insert additional statements that modify the back-end database, possibly including execution of system commands. SQL injection has become a common issue with database-driven web sites. The flaw is easily detected, and easily exploited, and as such, any site or software package with even a minimal user base is likely to be subject to an attempted attack of this kind. This flaw depends on the fact that SQL makes no real distinction between the control and data planes.";2;0;7,0;,07410;,51870;
CWE-326;Inadequate Encryption Strength. The software stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required. A weak encryption scheme can be subjected to brute force attacks that have a reasonable chance of succeeding using current attack methods and resources.;1;0;4,6;,03700;,17020;
CWE-425;Direct Request ('Forced Browsing');1;1;5,0;,03700;,18500;
CWE-20;Improper Input Validation. The product does not validate or incorrectly validates input that can affect the control flow or data flow of a program. When software does not validate input properly, an attacker is able to craft the input in a form that is not expected by the rest of the application. This will lead to parts of the system receiving unintended input, which may result in altered control flow, arbitrary control of a resource, or arbitrary code execution.;1;0;5,5;,03700;,20350;
CWE-613;Insufficient Session Expiration. According to WASC, "Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization.";1;1;3,3;,03700;,12210;
CWE-427;Uncontrolled Search Path Element. The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors. ;1;1;6,9;,03700;,25530;
CWE-287;Improper Authentication. When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct. ;2;1;6,95;,07410;,51500;
CWE-200;Information Exposure. An information exposure is the intentional or unintentional disclosure of information to an actor that is not explicitly authorized to have access to that information. Many information exposures are resultant (e.g. PHP script error revealing the full path of the program), but they can also be primary (e.g. timing discrepancies in cryptography). There are many different types of problems that involve information exposures. Their severity can range widely depending on the type of information that is revealed.;3;0;4,6667;,11110;,51850;
CWE-190;Integer Overflow or Wraparound. The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control. An integer overflow or wraparound occurs when an integer value is incremented to a value that is too large to store in the associated representation. When this occurs, the value may wrap to become a very small or negative number. ;1;0;5,0;,03700;,18500;
CWE-639;Authorization Bypass Through User-Controlled Key. The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data. ;1;0;5,0;,03700;,18500;
NVD-CWE-noinfo;Category with no information;4;0;5,925;,14810;,87750;


TOTAL VULNERABILITIES; 27
