ENTRY; SUMMARY; ACCESS_COMPLEXITY; AUTHENTICATION; CONFIDENTIALITY; INTEGRITY; AVAILABILITY; EXPLOITABILITY; SCORE; PRODUCTS_AFFECTED; PRESENCE; IMPACT; CRITICALITY_FOR_HEALTH; CATEGORY; YEAR 
CVE-2021-2040;Vulnerability in the Oracle Argus Safety product of Oracle Health Sciences Applications (component: Case Form, Local Affiliate Form). The supported version that is affected is 8.2.2. Easily exploitable vulnerability allows unauthenticated attacker with network access via HTTP to compromise Oracle Argus Safety. Successful attacks require human interaction from a person other than the attacker and while the vulnerability is in Oracle Argus Safety, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of Oracle Argus Safety accessible data as well as unauthorized read access to a subset of Oracle Argus Safety accessible data. CVSS 3.1 Base Score 6.1 (Confidentiality and Integrity impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N).;MEDIUM;NONE;PARTIAL;PARTIAL;NONE;8,6;5,8;1;,04545;,26364;NO;NVD-CWE-noinfo;2021
CVE-2021-2110;Vulnerability in the Oracle Argus Safety product of Oracle Health Sciences Applications (component: Letters). The supported version that is affected is 8.2.2. Easily exploitable vulnerability allows low privileged attacker with network access via HTTP to compromise Oracle Argus Safety. While the vulnerability is in Oracle Argus Safety, attacks may significantly impact additional products. Successful attacks of this vulnerability can result in unauthorized read access to a subset of Oracle Argus Safety accessible data. CVSS 3.1 Base Score 5.0 (Confidentiality impacts). CVSS Vector: (CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N).;LOW;SINGLE;PARTIAL;NONE;NONE;8,0;4,0;1;,04545;,18182;NO;NVD-CWE-noinfo;2021
CVE-2021-22156;An integer overflow vulnerability in the calloc() function of the C runtime library of affected versions of BlackBerryÂ® QNX Software Development Platform (SDP) version(s) 6.5.0SP1 and earlier, QNX OS for Medical 1.1 and earlier, and QNX OS for Safety 1.0.1 and earlier that could allow an attacker to potentially perform a denial of service or execute arbitrary code.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;8,6;6,8;5;,22727;1,54545;YES;CWE-190;2021
CVE-2021-25401;Intent redirection vulnerability in Samsung Health prior to version 6.16 allows attacker to execute privileged action.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;3,9;4,6;1;,04545;,20909;NO;CWE-863;2021
CVE-2021-25425;Improper check vulnerability in Samsung Health prior to version 6.17 allows attacker to read internal cache data via exported component.;LOW;NONE;PARTIAL;NONE;NONE;10,0;5,0;1;,04545;,22727;NO;CWE-754;2021
CVE-2021-25506;Non-existent provider in Samsung Health prior to 6.19.1.0001 allows attacker to access it via malicious content provider or lead to denial of service.;LOW;NONE;NONE;NONE;PARTIAL;3,9;2,1;1;,04545;,09545;NO;CWE-863;2021
CVE-2021-27408;The affected product is vulnerable to an out-of-bounds read, which can cause information leakage leading to arbitrary code execution if chained to the out-of-bounds write vulnerability on the Welch Allyn medical device management tools (Welch Allyn Service Tool: versions prior to v1.10, Welch Allyn Connex Device Integration Suite â€“ Network Connectivity Engine (NCE): versions prior to v5.3, Welch Allyn Software Development Kit (SDK): versions prior to v3.2, Welch Allyn Connex Central Station (CS): versions prior to v1.8.6, Welch Allyn Service Monitor: versions prior to v1.7.0.0, Welch Allyn Connex Vital Signs Monitor (CVSM): versions prior to v2.43.02, Welch Allyn Connex Integrated Wall System (CIWS): versions prior to v2.43.02, Welch Allyn Connex Spot Monitor (CSM): versions prior to v1.52, Welch Allyn Spot Vital Signs 4400 Device (Spot 4400) / Welch Allyn Spot 4400 Vital Signs Extended Care Device: versions prior to v1.11.00).;LOW;NONE;PARTIAL;NONE;NONE;10,0;5,0;10;,45455;2,27273;YES;CWE-125;2021
CVE-2021-27410;The affected product is vulnerable to an out-of-bounds write, which may result in corruption of data or code execution on the Welch Allyn medical device management tools (Welch Allyn Service Tool: versions prior to v1.10, Welch Allyn Connex Device Integration Suite â€“ Network Connectivity Engine (NCE): versions prior to v5.3, Welch Allyn Software Development Kit (SDK): versions prior to v3.2, Welch Allyn Connex Central Station (CS): versions prior to v1.8.6, Welch Allyn Service Monitor: versions prior to v1.7.0.0, Welch Allyn Connex Vital Signs Monitor (CVSM): versions prior to v2.43.02, Welch Allyn Connex Integrated Wall System (CIWS): versions prior to v2.43.02, Welch Allyn Connex Spot Monitor (CSM): versions prior to v1.52, Welch Allyn Spot Vital Signs 4400 Device (Spot 4400) / Welch Allyn Spot 4400 Vital Signs Extended Care Device: versions prior to v1.11.00).;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;10;,45455;3,40909;YES;CWE-787;2021
CVE-2021-31327;Stored XSS in Remote Clinic v2.0 in /medicines due to Medicine Name Field.;MEDIUM;SINGLE;NONE;PARTIAL;NONE;6,8;3,5;1;,04545;,15909;NO;CWE-79;2021
CVE-2021-37160;A firmware validation issue was discovered in HMI3 Control Panel in Swisslog Healthcare Nexus Panel operated by released versions of software before Nexus Software 7.2.5.7. There is no firmware validation (e.g., cryptographic signature validation) during a File Upload for a firmware update.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;10,0;7,5;2;,09091;,68182;YES;CWE-434;2021
