CATEGORY; SUMMARY; NUMBER_OF_VULNERABILITIES; NUMBER_OF_VULNERAILITIES_WITH_CRITICALITY_FOR_HEALTH; AVERAGE_SCORE; PRESENCE; IMPACT 
CWE-125;Out-of-bounds Read. The software reads data past the end, or before the beginning, of the intended buffer. Typically, this can allow attackers to read sensitive information from other memory locations or cause a crash. A crash can occur when the code reads a variable amount of data and assumes that a sentinel exists to stop the read operation, such as a NUL in a string.;1;1;5,0;,05260;,26300;
CWE-79;Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'). The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.;1;0;3,5;,05260;,18410;
CWE-863;Incorrect Authorization. The software performs an authorization check when an actor attempts to access a resource or perform an action, but it does not correctly perform the check. This allows attackers to bypass intended access restrictions. ;2;0;3,35;,10530;,35280;
CWE-434;Unrestricted Upload of File with Dangerous Type. The software allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment. ;1;1;7,5;,05260;,39450;
CWE-754;Improper Check for Unusual or Exceptional Conditions. The software does not check or incorrectly checks for unusual or exceptional conditions that are not expected to occur frequently during day to day operation of the software.;1;0;5,0;,05260;,26300;
CWE-787;Out-of-bounds Write. The software writes data past the end, or before the beginning, of the intended buffer. ;2;2;7,5;,10530;,78980;
CWE-798;Use of Hard-coded Credentials. The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data. Hard-coded credentials typically create a significant hole that allows an attacker to bypass the authentication that has been configured by the software administrator. This hole might be difficult for the system administrator to detect. Even if detected, it can be difficult to fix, so the administrator may be forced into disabling the product entirely.;1;1;7,5;,05260;,39450;
CWE-89;"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'). The software constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component. Without sufficient removal or quoting of SQL syntax in user-controllable inputs, the generated SQL query can cause those inputs to be interpreted as SQL instead of ordinary user data. This can be used to alter query logic to bypass security checks, or to insert additional statements that modify the back-end database, possibly including execution of system commands. SQL injection has become a common issue with database-driven web sites. The flaw is easily detected, and easily exploited, and as such, any site or software package with even a minimal user base is likely to be subject to an attempted attack of this kind. This flaw depends on the fact that SQL makes no real distinction between the control and data planes.";2;0;6,5;,10530;,68450;
CWE-190;Integer Overflow or Wraparound. The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control. An integer overflow or wraparound occurs when an integer value is incremented to a value that is too large to store in the associated representation. When this occurs, the value may wrap to become a very small or negative number. ;1;1;6,8;,05260;,35770;
CWE-120;Buffer Copy without Checking Size of Input ('Classic Buffer Overflow');4;4;7,575;,21050;1,59450;
NVD-CWE-noinfo;Category with no information;2;0;4,9;,10530;,51600;
CWE-276;Incorrect Default Permissions (During installation, installed file permissions are set to allow anyone to modify those files).;1;1;10,0;,05260;,52600;


TOTAL VULNERABILITIES; 19
