ENTRY; SUMMARY; ACCESS_COMPLEXITY; AUTHENTICATION; CONFIDENTIALITY; INTEGRITY; AVAILABILITY; EXPLOITABILITY; SCORE; PRODUCTS_AFFECTED; PRESENCE; IMPACT; CRITICALITY_FOR_HEALTH; CATEGORY; YEAR 
CVE-2020-11436;LibreHealth EMR v2.0.0 is vulnerable to XSS that results in the ability to force arbitrary actions on behalf of other users including administrators.;MEDIUM;SINGLE;PARTIAL;PARTIAL;PARTIAL;6,8;6,0;1;,00418;,02510;YES;CWE-79;2020
CVE-2020-11437;LibreHealth EMR v2.0.0 is affected by SQL injection allowing low-privilege authenticated users to enumerate the database.;LOW;SINGLE;PARTIAL;NONE;NONE;8,0;4,0;1;,00418;,01674;YES;CWE-89;2020
CVE-2020-11438;LibreHealth EMR v2.0.0 is affected by systemic CSRF.;MEDIUM;NONE;PARTIAL;PARTIAL;PARTIAL;8,6;6,8;1;,00418;,02845;YES;CWE-352;2020
CVE-2020-11439;LibreHealth EMR v2.0.0 is affected by a Local File Inclusion issue allowing arbitrary PHP to be included and executed within the EMR application.;LOW;SINGLE;COMPLETE;COMPLETE;COMPLETE;8,0;9,0;1;,00418;,03766;YES;CWE-22;2020
CVE-2020-11674;Cerner medico 26.00 allows variable reuse, possibly causing data corruption.;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;6,5;5,8;1;,00418;,02427;NO;NVD-CWE-noinfo;2020
CVE-2020-11675;Cerner medico 26.00 has a Local Buffer Overflow (issue 1 of 3).;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;6,5;5,8;1;,00418;,02427;NO;CWE-120;2020
CVE-2020-11676;Cerner medico 26.00 has a Local Buffer Overflow (issue 2 of 3).;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;6,5;5,8;1;,00418;,02427;NO;CWE-120;2020
CVE-2020-11677;Cerner medico 26.00 has a Local Buffer Overflow (issue 3 of 3).;LOW;NONE;PARTIAL;PARTIAL;PARTIAL;6,5;5,8;1;,00418;,02427;NO;CWE-120;2020
CVE-2020-12035;Baxter PrismaFlex all versions, PrisMax all versions prior to 3.x, The PrismaFlex device contains a hard-coded service password that provides access to biomedical information, device settings, calibration settings, and network configuration. This could allow an attacker to modify device settings and calibration.;LOW;NONE;NONE;PARTIAL;PARTIAL;3,9;3,6;4;,01674;,06025;YES;CWE-798;2020
CVE-2020-12036;Baxter PrismaFlex all versions, PrisMax all versions prior to 3.x, The affected devices do not implement data-in-transit encryption (e.g., TLS/SSL) when configured to send treatment data to a PDMS (Patient Data Management System) or an EMR (Electronic Medical Record) system. An attacker could observe sensitive data sent from the device.;LOW;NONE;PARTIAL;NONE;NONE;10,0;5,0;4;,01674;,08368;YES;CWE-319;2020
